[-0.36649996],[-0.80147182],[0.18361887],[-0.95244772],[0.19127228],[0.00358237],[0.08387573]
[0.02042862],[-0.98899865],[-0.0493313],[0.17005064],[0.57970811],[-0.02402644],[-0.39253952]
[-0.42522923],[-0.94758222],[0.5848509],[0.09426926],[0.3937355],[-0.00838695],[-0.12449656]
[-1.16685136],[-0.23409363],[0.3528829],[-0.05009228],[-0.31728764],[-0.01649318],[-0.19817677]
[0.40470614],[-0.73328245],[-0.27297363],[0.26478017],[-0.34949195],[-0.00678034],[-0.4821719]
[0.55541673],[-0.55529235],[-0.76608257],[-0.18412228],[0.00877778],[-0.00609525],[0.28885807]
[0.18668329],[-0.51165824],[-0.32485487],[-0.36677294],[-0.24000277],[-0.02039727],[-0.56140105]
[0.3056651],[-0.76248267],[0.71455541],[1.07031597],[-0.20861098],[0.01021263],[0.44151291]
[0.3646707],[-0.88487598],[-0.99819232],[-0.20446724],[0.56693539],[-0.023427],[-0.48453227]
[1.73846175],[-0.65231812],[-0.09746524],[0.76461275],[0.34578598],[-0.00869717],[-0.01917549]
[0.61097918],[-0.28363383],[-0.75452045],[0.24634497],[0.03498194],[-0.04553036],[0.08180487]
[0.23715926],[0.09467192],[0.1665507],[-0.19078819],[-0.64212966],[0.03030468],[0.12934539]
[-0.36197392],[0.08264309],[-0.40498392],[0.45543029],[-0.27168818],[-0.06379548],[-0.0972178]
[-0.00269396],[-0.13978051],[-1.21921022],[-0.87690006],[-0.3357104],[0.0710435],[-1.10391875]
[-0.30721134],[-0.22037785],[1.22570051],[0.56122707],[0.12102684],[-0.09880474],[-0.55820731]
[0.74052196],[0.17882058],[-0.93095138],[-0.42555949],[0.46147344],[0.0427168],[-0.49959062]
[-0.24494512],[-0.31057076],[-0.71942317],[-0.38969568],[0.26027737],[-0.04675609],[0.08585073]
[0.18866257],[0.02502927],[0.1171294],[0.60564506],[0.28085928],[0.06935506],[-0.09558777]
[0.17340134],[0.72426224],[-0.24858149],[0.44829909],[0.07176623],[-0.11615567],[-0.78012485]
[-0.45023934],[0.54420668],[-0.82169381],[-0.31589486],[0.10858946],[0.00841918],[-0.58845032]
[1.04044547],[0.39899913],[-1.01167711],[0.06108522],[-0.33574883],[-0.12702295],[0.59203834]
[0.4217801],[0.37461689],[-0.45660498],[0.07889752],[-0.18533245],[0.03948758],[-0.3832441]
[-0.48555183],[0.58427589],[-0.4116317],[0.02588941],[0.14435369],[-0.09799917],[-0.85037307]
[0.8579237],[0.92297546],[-1.12973689],[0.38342929],[0.36514255],[0.12631231],[0.06128463]
[-0.11929494],[0.63413112],[-0.41622722],[-0.28515137],[0.21683557],[-0.05583489],[-0.37148412]
[-0.50799155],[0.24307317],[-0.18760045],[-1.43950676],[-0.08776724],[0.15458497],[0.22089589]
[-0.01276506],[0.61077606],[-0.31831782],[-0.37141892],[-0.0318245],[-0.08746969],[0.39528635]
[-0.41941596],[0.85474117],[0.12376563],[0.47910642],[-0.21972151],[0.16796903],[-0.5198988]
[0.29636889],[0.69635586],[-0.64104143],[0.46737585],[-0.25228399],[-0.16160946],[-0.13553858]
[0.18386896],[0.78576088],[-0.71665232],[-0.33660011],[-0.11155761],[0.24022462],[-0.7343201]
[-0.16335218],[0.32283852],[0.00930616],[-0.83614537],[0.0605186],[-0.17519133],[-0.0364837]
[-0.91453138],[1.07311085],[-0.16140646],[0.23395652],[-0.65154866],[0.24416911],[-0.17559502]
[-0.43202218],[1.30573868],[-0.12202363],[-0.035972],[-0.13107158],[-0.21743148],[-0.74154763]
[-0.24989807],[0.96324123],[-0.60169075],[0.26703962],[0.3815597],[0.18529181],[-0.03659434]
[0.1032281],[0.91977458],[-0.0069011],[-0.04645117],[-0.6070938],[-0.0910823],[0.07184621]
[-0.50346712],[1.24975692],[-0.44715794],[-0.11572659],[-0.12393921],[0.20120401],[0.15662608]
[-0.53694335],[1.78951759],[-1.18517429],[-0.11300316],[0.24904554],[-0.16495732],[-0.62887262]
[-0.50828829],[1.61623774],[-0.44100945],[0.09790288],[0.18217032],[0.2032941],[-0.80676281]
[-0.59739423],[1.13511448],[-0.11136121],[-0.43828764],[-0.36589746],[-0.19954141],[0.3285183]
[0.87723833],[0.57301008],[0.05716952],[-0.20377194],[-0.18952753],[0.18385066],[-0.39499747]
