Sampling times,Time(us),A-phase current,B-phase current,C-phase current,Neutral current,A-phase voltege,B-phase voltege,C-phase voltege
298,72468,1244.218,1025.352,1121.032,1126.527,2658,1579,1943
299,72712,1247.029,1030.338,1112.24,1125.978,2667,1617,1911
300,72956,1253.776,1034.215,1100.15,1125.428,2672,1661,1880
301,73200,1265.583,1038.647,1084.763,1125.978,2673,1702,1848
302,73444,1276.827,1041.971,1071.025,1125.978,2669,1749,1820
303,73688,1285.261,1043.078,1060.584,1125.978,2660,1795,1793
304,73932,1291.445,1045.294,1052.891,1125.978,2652,1843,1763
305,74176,1293.694,1051.942,1044.098,1125.978,2642,1894,1738
306,74420,1290.883,1062.467,1036.405,1125.978,2626,1949,1714
307,74664,1281.325,1076.869,1030.36,1125.978,2606,2006,1690
308,74908,1270.081,1090.718,1028.162,1125.978,2584,2067,1665
309,75152,1261.085,1102.904,1024.865,1125.978,2562,2126,1640
310,75396,1255.462,1111.214,1022.667,1125.978,2541,2181,1617
311,75640,1248.716,1120.631,1019.37,1125.978,2518,2232,1602
312,75884,1243.093,1130.048,1014.974,1125.428,2491,2280,1588
313,76128,1238.033,1138.911,1011.676,1125.978,2459,2328,1582
314,76372,1233.535,1153.313,1001.785,1125.978,2423,2377,1576
315,76616,1228.475,1168.824,991.894,1125.978,2385,2422,1573
316,76860,1225.664,1179.903,982.002,1125.428,2344,2463,1578
317,77104,1223.978,1188.212,974.858,1125.428,2302,2504,1580
318,77348,1220.042,1195.967,971.012,1125.428,2260,2544,1584
319,77592,1212.733,1203.722,969.913,1125.428,2220,2582,1594
320,77836,1200.364,1208.708,975.408,1124.879,2176,2616,1600
321,78080,1184.621,1213.693,986.948,1125.428,2127,2650,1617
322,78324,1169.441,1217.017,997.389,1124.879,2079,2684,1631
323,78568,1158.196,1221.449,1006.181,1125.428,2031,2716,1643
324,78812,1149.763,1224.772,1011.127,1125.428,1985,2745,1660
325,79056,1140.205,1227.542,1017.172,1124.879,1945,2766,1673
326,79300,1131.772,1230.866,1024.316,1125.428,1904,2782,1696
327,79544,1119.965,1235.851,1029.261,1124.879,1863,2792,1720
328,79788,1105.347,1246.93,1033.108,1125.428,1824,2794,1748
329,80032,1091.853,1258.563,1036.405,1125.428,1788,2791,1782
330,80276,1081.171,1266.872,1038.603,1125.428,1755,2784,1812
331,80520,1072.737,1273.52,1041.351,1125.428,1720,2771,1846
332,80764,1065.428,1275.181,1045.747,1125.428,1690,2763,1877
333,81008,1059.244,1273.52,1054.539,1125.428,1662,2748,1905
334,81252,1054.184,1264.656,1067.728,1125.428,1635,2725,1944
335,81496,1050.81,1254.131,1082.016,1125.428,1609,2700,1980
336,81740,1046.312,1244.16,1097.402,1125.428,1581,2675,2020
337,81984,1041.815,1238.621,1107.294,1125.428,1557,2649,2057
338,82228,1037.879,1233.636,1115.537,1125.428,1538,2624,2089
339,82472,1034.506,1228.65,1122.681,1125.428,1523,2592,2124
340,82716,1032.257,1224.218,1129.824,1125.428,1515,2553,2154
341,82960,1024.948,1219.233,1143.013,1125.428,1508,2513,2188
342,83204,1014.265,1213.693,1157.301,1125.428,1508,2471,2217
343,83448,1003.583,1211.478,1172.138,1125.428,1511,2424,2246
344,83692,995.149,1210.924,1181.48,1125.428,1519,2377,2275
345,83936,988.965,1208.154,1190.272,1125.428,1529,2329,2299
346,84180,987.278,1202.615,1198.515,1125.428,1539,2277,2327
347,84424,988.965,1190.982,1205.109,1124.879,1554,2222,2351
348,84668,999.085,1176.579,1211.704,1125.428,1574,2165,2373
349,84912,1010.33,1162.177,1214.451,1125.428,1600,2104,2401
350,85156,1019.325,1151.098,1217.199,1125.428,1622,2045,2424
351,85400,1025.51,1142.789,1219.947,1125.428,1642,1990,2448
352,85644,1030.57,1133.925,1222.694,1125.428,1666,1937,2464
353,85888,1037.317,1125.062,1227.09,1125.978,1692,1890,2476
354,86132,1041.815,1115.091,1230.388,1125.428,1724,1842,2486
355,86376,1046.875,1100.135,1240.279,1125.428,1761,1793,2488
356,86620,1051.935,1085.178,1251.819,1125.978,1801,1749,2491
357,86864,1054.184,1073.545,1260.062,1125.428,1840,1707,2486
358,87108,1056.433,1065.79,1267.206,1125.978,1881,1666,2483
359,87352,1058.682,1059.143,1270.503,1125.428,1922,1626,2481
360,87596,1067.115,1051.388,1271.052,1125.978,1965,1591,2472
361,87840,1080.046,1045.848,1265.557,1126.527,2008,1557,2460
362,88084,1095.227,1041.417,1254.567,1126.527,2056,1524,2447
363,88328,1109.282,1036.985,1244.126,1126.527,2106,1488,2433
364,88572,1121.651,1033.107,1235.883,1126.527,2152,1456,2420
365,88816,1129.523,1029.784,1230.388,1125.978,2196,1428,2404
366,89060,1137.956,1028.122,1224.343,1126.527,2238,1408,2387
367,89304,1148.076,1024.798,1218.298,1126.527,2278,1393,2368
368,89548,1158.196,1018.151,1212.803,1125.978,2321,1384,2341
369,89792,1173.377,1008.18,1208.407,1125.978,2359,1381,2313
370,90036,1186.308,997.655,1206.208,1126.527,2395,1384,2282
371,90280,1197.553,988.792,1204.01,1126.527,2428,1392,2250
372,90524,1205.986,983.252,1200.164,1125.978,2460,1401,2216
373,90768,1212.733,981.037,1196.317,1125.978,2490,1411,2187
374,91012,1219.48,983.806,1187.525,1126.527,2520,1428,2154
375,91256,1223.978,991.562,1174.886,1126.527,2548,1448,2120
376,91500,1227.351,1002.64,1159.499,1125.978,2574,1476,2082
377,91744,1232.973,1012.058,1144.662,1125.978,2600,1504,2044
378,91988,1236.909,1017.043,1134.77,1125.978,2626,1528,2006
379,92232,1240.282,1020.921,1126.527,1125.428,2645,1551,1971
380,92476,1243.656,1027.014,1118.834,1125.978,2658,1586,1939
381,92720,1246.467,1030.892,1111.141,1125.978,2667,1624,1906
382,92964,1254.338,1036.431,1098.501,1125.978,2673,1665,1873
383,93208,1265.02,1040.863,1083.664,1125.978,2674,1709,1847
384,93452,1276.265,1043.078,1069.377,1125.978,2667,1755,1815
385,93696,1285.261,1044.74,1059.485,1125.978,2660,1801,1789
386,93940,1290.883,1046.956,1051.792,1125.978,2653,1852,1760
387,94184,1293.132,1053.049,1043.549,1125.978,2641,1901,1734
388,94428,1288.634,1064.682,1036.405,1125.978,2624,1956,1712
389,94672,1279.076,1079.639,1030.36,1125.978,2603,2015,1686
390,94916,1267.269,1093.487,1028.162,1125.978,2581,2075,1664
391,95160,1259.398,1105.12,1025.415,1125.978,2560,2132,1637
392,95404,1253.776,1113.429,1022.667,1125.978,2537,2190,1616
393,95648,1247.591,1122.293,1019.37,1125.978,2513,2239,1599
394,95892,1241.969,1130.602,1015.523,1125.428,2488,2287,1587
395,96136,1236.909,1140.573,1010.577,1125.428,2455,2336,1582
396,96380,1231.287,1154.975,1001.785,1125.428,2418,2384,1575
397,96624,1227.913,1169.932,990.794,1125.978,2380,2428,1575
398,96868,1225.102,1182.119,981.453,1125.978,2340,2470,1576
399,97112,1232.411,1173.256,996.839,1130.374,2174,2477,1550
400,97356,1224.54,1223.111,992.443,1143.013,2106,2449,1461
401,97600,1217.231,1206.492,1003.983,1138.617,2088,2520,1500
402,97844,1219.48,1205.384,994.641,1135.869,2078,2560,1516
403,98088,1222.853,1199.291,995.191,1135.32,2067,2593,1536
404,98332,1203.737,1207.6,1006.181,1135.32,2050,2638,1573
405,98576,1183.497,1218.125,1017.172,1135.869,2035,2679,1612
406,98820,1171.69,1224.218,1022.667,1135.869,2016,2725,1651
407,99064,1167.754,1226.434,1025.415,1135.869,1994,2772,1694
408,99308,1161.57,1228.096,1029.261,1135.869,1973,2817,1747
409,99552,1154.261,1231.974,1032.558,1135.869,1954,2853,1795
